	F1rp	F1rp_permuted	F1rp_scalefree	F1rp_sticky	F1rprr	F1rprr_permuted	F1rprr_scalefree	F1rprr_sticky	F1rr	F1rr_permuted	F1rr_scalefree	F1rr_sticky	goldstandard	knownmodules_name	precision	recall	recovery	regnet_name	relevance	runningtime	settingid
236	0.08309122916196936	11.121547084766608	6.674125418798453	11.439456510486462	0.12725559718669083	5.7784794385915434	5.081979497910425	5.40288792974936	0.271633100616603	3.903257513452668	4.103152092525309	3.5366223829948016	ecoli_regulondb#tc3	tc3	0.06935425758175849	0.10361401866901218	0.24183752866659872	ecoli_regulondb	0.30980226165788743	1.41090726852417	22
237	0.2717440600835544	11.561557304472244	76.73665897586505	28.975050484792693	0.35778704229506014	5.919094485234153	12.244132047277393	7.6824384153858	0.5235645621052176	3.977788307007709	6.65283014520133	4.428275149895893	ecoli_regulondb#ap2	ap2	0.26228429779749374	0.2819117212476077	0.6461656666919825	ecoli_regulondb	0.440067725308	1.41090726852417	22
238	0.083310649501713	13.608106578572503	11.904374799561445	21.03632356698458	0.12760528708134336	6.2652463843335	5.953618829917962	6.539446376364786	0.2724747820927923	4.06941319050095	3.969397417537136	3.8714753241787347	ecoli_regulondb#mcl1	mcl1	0.06794681616849382	0.10765257277822798	0.2490189392661105	ecoli_regulondb	0.30080887469875695	1.41090726852417	22
239	0.06999602429014781	4.331491926135104	2.218878670741757	5.401857339852222	0.11118449441930822	3.982836600550561	2.7302733908794488	4.285037410817709	0.27015388146353303	3.686128587527092	3.5479955112743298	3.5508984161015364	ecoli_regulondb#tc2	tc2	0.04889984391494113	0.12310588701964087	0.2604912882513102	ecoli_regulondb	0.28056093262200754	1.41090726852417	22
240	0.0803104892749703	10.714525157703475	13.028438766343697	15.183648959631459	0.12446012406530182	5.355436145588533	6.422565675993912	5.885279387335965	0.27641640667407297	3.569885074143913	4.26172326502911	3.650026493123104	ecoli_regulondb#ap1	ap1	0.07054536397750442	0.09321339994959447	0.28897140039059505	ecoli_regulondb	0.26490694575535906	1.41090726852417	22
241	0.27620798873204583	23.677615677499382	50.67156990427828	115.90313244895187	0.36550333878891805	9.192848094760635	11.949191337844628	14.120538413414858	0.5401183290616283	5.7036459878584775	6.773213338636283	7.518245042571274	ecoli_regulondb#strict	strict	0.2653279502617505	0.28801847490208204	0.5933464316263587	ecoli_regulondb	0.4956540449055088	1.41090726852417	22
242	0.09424380478100848	12.919097645885993	17.8307761917192	28.691903080613542	0.14033423226871197	5.665677677412613	6.447192721426132	6.380126212379873	0.2746563737257121	3.628473378677707	3.934998124573377	3.5891128465882947	ecoli_regulondb#mcl2	mcl2	0.08384513564210028	0.10758699460303985	0.27338147073959723	ecoli_regulondb	0.2759432233372791	1.6662898063659668	32
243	0.06633313560863985	7.664403846621301	4.128804121335695	5.517257328688294	0.10498515828816495	4.773147863571635	3.7842848294291582	3.7613991839736127	0.25157929016281333	3.465755190709953	3.492832812803643	2.853331187960744	ecoli_regulondb#minimal	minimal	0.047337287537498295	0.11079291569849466	0.2497116264373392	ecoli_regulondb	0.25347510198399476	1.6662898063659668	32
244	0.048729231975851814	7.014772087964043	9.209642870996005	10.792028775357727	0.07891406902540388	3.9860555369464805	4.7915816199713746	4.778169720898862	0.20736303292612104	2.784019789012469	3.2381650725640876	3.0683380517389938	ecoli_regulondb#ap3	ap3	0.05071827678560671	0.046890310493766116	0.20843006919188584	ecoli_regulondb	0.206306866179436	1.6662898063659668	32
245	0.05905188737291042	8.007325945442618	5.490288032621249	9.601187742549518	0.09241108770565673	4.423675351714432	4.051079273439565	4.510815716122874	0.21239698030306653	3.055981547222766	3.2096980087320826	2.9478958833216398	ecoli_regulondb#tc1	tc1	0.051166152899432375	0.06981119887950278	0.19368467882139648	ecoli_regulondb	0.235111630407583	1.6662898063659668	32
246	0.07012624540762386	12.36155409384427	11.737169610915714	18.318799793625335	0.10828499516252	5.607650111288218	5.813924522288668	5.870691300105808	0.23754191530115362	3.6263462749878737	3.863953332020621	3.4954444422272593	ecoli_regulondb#mcl3	mcl3	0.05997088593858151	0.08442213427601043	0.21984450744385622	ecoli_regulondb	0.25833803934590155	1.6662898063659668	32
247	0.05905188737291042	8.046841294988047	5.332756436612271	9.296542140620168	0.09241108770565673	4.445928414023481	3.9733737374225204	4.473205932401335	0.21239698030306653	3.0714659509543556	3.1662572973038903	2.945163295805624	ecoli_regulondb#tc3	tc3	0.051166152899432375	0.06981119887950278	0.19368467882139648	ecoli_regulondb	0.235111630407583	1.6662898063659668	32
248	0.3302152575289726	9.81963832296337	48.889349951825665	16.064556829921152	0.41419422653493326	5.297896213001481	10.627742028978313	6.067395307150663	0.5554553067813336	3.6275046832197075	5.961878238901639	3.739968923087226	ecoli_regulondb#ap2	ap2	0.3446200471530603	0.3169663654521235	0.7054801259346714	ecoli_regulondb	0.45804840992340995	1.6662898063659668	32
249	0.07012624540762386	12.483480606668664	10.020377806852707	18.050401676480636	0.10828499516252	5.6527223401265765	5.404868083304281	5.751205576554934	0.23754191530115362	3.653555812946315	3.700412433370509	3.420525423290278	ecoli_regulondb#mcl1	mcl1	0.05997088593858151	0.08442213427601043	0.21984450744385622	ecoli_regulondb	0.25833803934590155	1.6662898063659668	32
250	0.059110070231566315	4.231133119774076	1.9802457670375067	4.651206422851652	0.09393370244748221	3.666081394754717	2.4405126151566665	3.7396719502279305	0.22862256479125034	3.23417026472054	3.1795275022661307	3.1268733383584784	ecoli_regulondb#tc2	tc2	0.04128420956274285	0.1040274632176258	0.2195652760558477	ecoli_regulondb	0.2384592489337411	1.6662898063659668	32
251	0.05464082106787333	6.735283967645552	9.188541333650692	10.524200367769103	0.08699547020220719	3.844199110061976	4.857920140488257	4.575284155406855	0.2132938727750073	2.689671786372828	3.301772570447295	2.9230174482621814	ecoli_regulondb#ap1	ap1	0.05752604012195705	0.05203119597106139	0.22156407830054986	ecoli_regulondb	0.2056188465090261	1.6662898063659668	32
252	0.1832960089050899	16.58901630462637	33.94300599333411	84.06068089546778	0.2519076680149315	6.8875121107677195	8.704344803040728	10.904608759801977	0.4026152674027579	4.345940990800137	4.992282946354615	5.830478111108891	ecoli_regulondb#strict	strict	0.18771676447959285	0.17907868137362606	0.43393074730567643	ecoli_regulondb	0.3755154446043961	1.6662898063659668	32
